frame,RetiGate_Sparsity,RetiGate_Latency,FrameDiff_Sparsity,FrameDiff_Latency,MOG2_Sparsity,MOG2_Latency,DISFlow_Sparsity,DISFlow_Latency,Farneback_Sparsity,Farneback_Latency,RAFT_Sparsity,RAFT_Latency
000014,96.04251207729469,24.80412507429719,52.78518518518518,0.414125039242208,83.99334406870639,2.387666027061641,2.62651637144391,12.479125056415796,5.643370907139023,37.1889160014689,3.05185185185185,760.6249579694122
000015,96.4833064949007,25.029957992956042,53.40869565217392,0.9182500652968884,83.92914653784219,2.4105000775307417,2.965324745034892,10.535749956034124,6.354482018250129,34.778625005856156,2.653784219001609,728.9241249673069
000016,96.90971551261406,23.999124998226762,52.35791733762748,0.4664589650928974,81.23671497584542,1.8616670276969671,1.1081052066559294,10.083125089295208,5.200000000000005,35.383000038564205,1.6105206655931292,939.3587920349091
000017,96.78346752549652,30.405250028707087,50.899838969404186,0.9960000170394778,80.68384326355341,2.5637090438976884,0.6140633387010208,10.897959000431001,4.690069779924855,36.594041041098535,0.24455179817498562,746.9204580411315
000018,96.99044551798175,47.66083403956145,46.87987117552335,0.7394590647891164,78.90993022007515,2.1235829917714,0.0,10.969249997287989,4.629951690821255,37.32745803426951,0.0,763.7962499866262
000019,97.08105206655931,23.191291955299675,47.26162104133118,0.4177499795332551,77.60837359098228,2.2922090720385313,0.0,10.834665969014168,5.707783145464306,34.0122920460999,0.0,741.3330000126734
000020,97.105743424584,25.00500006135553,49.2109500805153,0.644416082650423,76.95716586151369,2.021083957515657,0.014600107353734959,10.36079099867493,6.312399355877618,33.56829204130918,0.0,711.9146250188351
000021,96.92259796027912,23.619832936674356,54.02941492216855,0.4615000216290355,77.47525496511004,1.979124965146184,2.4949006977992516,10.154624935239553,11.098658078368228,32.83783292863518,2.52603327965647,721.2497079744935
000022,97.25346215780999,24.109667050652206,50.66602254428341,0.4622919950634241,78.74718196457326,1.986833056434989,1.0215780998389712,10.911209043115377,9.51626409017713,33.92249997705221,0.9915190552871711,736.6464160149917
000023,97.33870101986044,28.245999943464994,52.01245303274289,0.770249986089766,80.03864734299518,2.745333011262119,0.9049919484702129,12.296916916966438,10.135695115405262,36.902124993503094,0.8103059581320404,808.5961249889806
000024,97.56564680622651,23.699832963757217,54.275899087493286,0.48337492626160383,80.54084809447129,1.9573750905692577,0.9303274288781527,10.254124994389713,9.903596349973165,33.98195910267532,1.2341384863123972,746.5663749026135
000025,97.57316156736447,24.21733399387449,54.544498121309715,0.4717919509857893,80.85925925925925,2.0811669528484344,1.4546430488459494,10.33220801036805,10.557380568974772,34.04379193671048,1.7408480944712812,705.2302500233054
000026,97.5276435856146,24.011125089600682,49.08663446054751,0.45804097317159176,81.07096081588836,2.0667919889092445,0.5846484165324739,10.327624971978366,8.183360171765974,33.96908403374255,0.6376811594202891,697.4642500281334
000027,97.5877616747182,24.980332935228944,51.744498121309725,0.6201249780133367,81.08083735909824,1.8439589766785502,0.8502415458937151,9.919916978105903,9.89844337090714,35.24179104715586,0.547718733225977,694.4508749293163
000028,97.51583467525496,23.91224994789809,55.55727321524423,0.5250000394880772,81.28266237251745,1.9128338899463415,0.9438539989264583,11.334292008541524,11.248738593666129,36.72816697508097,0.9112184648416566,699.6434159809723
000029,97.59205582393989,25.379457976669073,54.45517981749865,0.6400420097634196,81.23478260869565,2.8367500053718686,0.6149221685453621,11.678582988679409,11.050348899624263,34.499916015192866,0.20418679549114582,708.8253749534488
