frame,dense_gflops,reti_gflops,energy_savings_pct,sensing_latency_ms
000100.png,45.2,32.985587761674715,27.02303592549842,23.976000025868416
000101.png,45.2,45.25,-0.11061946902655162,23.21262494660914
000102.png,45.2,43.97624798711755,2.70741595770454,23.97358394227922
000103.png,45.2,45.25,-0.11061946902655162,22.33562502078712
000104.png,45.2,45.25,-0.11061946902655162,23.860916029661894
000105.png,45.2,43.72149758454106,3.271023043050758,22.647583042271435
000106.png,45.2,45.25,-0.11061946902655162,23.95058295223862
000107.png,45.2,36.77045088566828,18.64944494321177,23.79445801489055
000108.png,45.2,34.36851851851852,23.96345460504753,24.914250010624528
000109.png,45.2,34.00458937198068,24.768607584113546,24.762124987319112
000110.png,45.2,10.167230273752015,77.50612771293802,23.861124995164573
000111.png,45.2,45.25,-0.11061946902655162,23.131541907787323
000112.png,45.2,45.25,-0.11061946902655162,24.602208053693175
000113.png,45.2,45.25,-0.11061946902655162,23.361833998933434
000114.png,45.2,44.8884,0.6893805309734602,23.99795805104077
000115.png,45.2,31.374109500805154,30.58825331680276,23.344542016275227
000116.png,45.2,31.020370370370376,31.370862012454925,24.4427080033347
000117.png,45.2,13.697342995169084,69.6961438159976,23.918749997392297
000118.png,45.2,9.665299194847023,78.61659470166587,23.143416037783027
000119.png,45.2,31.1476,31.089380530973454,24.285249994136393
000120.png,45.2,40.1876,11.089380530973447,25.210667052306235
000121.png,45.2,45.25,-0.11061946902655162,24.605083977803588
000122.png,45.2,45.25,-0.11061946902655162,23.75062496867031
000123.png,45.2,44.28573333333333,2.022713864306791,24.878666969016194
000124.png,45.2,45.25,-0.11061946902655162,24.863458005711436
000125.png,45.2,45.25,-0.11061946902655162,24.622875032946467
000126.png,45.2,38.18977455716586,15.509348324854288,23.649250040762126
000127.png,45.2,45.25,-0.11061946902655162,24.50975007377565
000128.png,45.2,43.803599999999996,3.0893805309734623,25.358375045470893
000129.png,45.2,45.25,-0.11061946902655162,22.924416000023484
000130.png,45.2,45.25,-0.11061946902655162,23.550499929115176
000131.png,45.2,45.25,-0.11061946902655162,23.565624956972897
000132.png,45.2,45.25,-0.11061946902655162,23.949540918692946
000133.png,45.2,45.25,-0.11061946902655162,23.664292064495385
000134.png,45.2,45.25,-0.11061946902655162,23.84066698141396
000135.png,45.2,43.79428341384863,3.1099924472375418,23.499708040617406
000136.png,45.2,39.57270531400966,12.449767004403412,24.825291009619832
000137.png,45.2,45.06803542673108,0.29195702050647254,23.62979098688811
000138.png,45.2,37.20716586151369,17.68326136833256,23.950416943989694
000139.png,45.2,24.51011465378422,45.77408262437119,23.06479203980416
000140.png,45.2,38.15338164251207,15.589863622760902,24.50254198629409
000141.png,45.2,45.25,-0.11061946902655162,23.348167072981596
000142.png,45.2,45.25,-0.11061946902655162,23.33758305758238
000143.png,45.2,45.25,-0.11061946902655162,23.599416948854923
000144.png,45.2,45.25,-0.11061946902655162,22.758209030143917
000145.png,45.2,45.25,-0.11061946902655162,23.363082902505994
000146.png,45.2,45.25,-0.11061946902655162,22.686250042170286
000147.png,45.2,45.25,-0.11061946902655162,22.090916987508535
000148.png,45.2,45.25,-0.11061946902655162,22.63320900965482
